model_name,batch_size,dtype,sequence_length,context_window,learning_rate,warmup_iterations,cooldown_seconds,io_latency_enabled,io_latency_profile,io_latency_pattern,power_meter_available,tokens_per_second_mean,mfu_percentage_mean,mfu_percentage_calflops_mean,sequence_length_mean,gpu_utilization_mean,memory_utilization_mean,memory_used_mb_mean,temperature_celsius_mean,power_draw_watts_mean,num_layers_mean,num_heads_mean,head_dim_mean,formula_flops_per_token_mean,calflops_total_mean,io_latency_actual_ms_mean,io_latency_mean_config_ms_mean,power_meter_active_power_w_mean,power_meter_reactive_power_var_mean,power_meter_apparent_power_va_mean,samples_per_config,cap_reached
Qwen/Qwen2.5-0.5B,1,float16,11,512,0.0001,0,0.0,False,,,True,65.64636904491354,0.10272196874482473,0.2183752023670992,11.0,42.82,31.0,5047.0,64.9,111.265728374433,24.0,14.0,64.0,1395781632.0,32640000000.0,0.0,0.0,342.96,-56.26,348.68,50,False
Qwen/Qwen2.5-0.5B,1,float16,11,512,0.0001,0,5.0,False,,,True,65.52919820482055,0.10253862243719265,0.21798542900584408,11.0,42.68,31.0,5033.0,63.8,112.00096223660356,24.0,14.0,64.0,1395781632.0,32640000000.0,0.0,0.0,340.8,-56.42,346.74,50,False
Qwen/Qwen2.5-0.5B,1,float16,11,512,0.0001,5,0.0,False,,,True,65.80472806486031,0.10296976539426782,0.21890198981217288,11.0,43.04,31.0,5103.0,65.28,112.1216350607874,24.0,14.0,64.0,1395781632.0,32640000000.0,0.0,0.0,342.34,-56.46,348.3,50,False
Qwen/Qwen2.5-0.5B,1,float16,11,512,0.0001,5,5.0,False,,,True,65.99824874568519,0.10327258222353632,0.2195457438910685,11.0,43.2,31.0,5079.0,63.88,112.04916474312553,24.0,14.0,64.0,1395781632.0,32640000000.0,0.0,0.0,342.48,-56.44,348.3,50,False
Qwen/Qwen2.5-0.5B,1,float16,11,2048,0.0001,0,0.0,False,,,True,65.71477944007286,0.10282901579975887,0.21860277220994476,11.0,43.06,31.0,5043.0,65.28,111.85314288514746,24.0,14.0,64.0,1395781632.0,32640000000.0,0.0,0.0,343.66,-56.5,349.52,50,False
Qwen/Qwen2.5-0.5B,1,float16,11,2048,0.0001,0,5.0,False,,,True,65.80591110030363,0.10297161658164651,0.21890592522563293,11.0,42.94,31.0,5067.0,64.06,112.8867417158473,24.0,14.0,64.0,1395781632.0,32640000000.0,0.0,0.0,342.96,-56.26,348.78,50,False
Qwen/Qwen2.5-0.5B,1,float16,11,2048,0.0001,5,0.0,False,,,True,65.64446652500418,0.1027189917242597,0.218368873560552,11.0,42.9,31.0,5103.0,65.76,114.07568190898157,24.0,14.0,64.0,1395781632.0,32640000000.0,0.0,0.0,343.02,-56.56,348.98,50,False
Qwen/Qwen2.5-0.5B,1,float16,11,2048,0.0001,5,5.0,False,,,True,66.08391857270949,0.10340663645108916,0.21983072790595576,11.0,43.16,31.0,5105.0,63.94,112.17300105616114,24.0,14.0,64.0,1395781632.0,32640000000.0,0.0,0.0,342.34,-56.46,348.26,50,False
Qwen/Qwen2.5-0.5B,1,float32,11,512,0.0001,0,0.0,False,,,True,67.26371291483848,0.8382629909522565,1.7820516148866299,11.0,53.7,59.0,9681.0,77.6,143.6571088539433,24.0,14.0,64.0,1395781632.0,32640000000.0,0.0,0.0,372.82,-57.88,379.04,50,False
Qwen/Qwen2.5-0.5B,1,float32,11,512,0.0001,0,5.0,False,,,True,67.33083994665198,0.8390995505773989,1.7838300453398708,11.0,53.66,58.0,9537.0,76.32,144.18940185401547,24.0,14.0,64.0,1395781632.0,32640000000.0,0.0,0.0,375.54,-57.86,381.64,50,False
Qwen/Qwen2.5-0.5B,1,float32,11,512,0.0001,5,0.0,False,,,True,67.16483063450437,0.8370306867502866,1.7794318765505057,11.0,53.52,59.0,9637.0,77.46,143.51342049246605,24.0,14.0,64.0,1395781632.0,32640000000.0,0.0,0.0,374.24,-57.48,380.14,50,False
Qwen/Qwen2.5-0.5B,1,float32,11,512,0.0001,5,5.0,False,,,True,67.03254290070805,0.8353820725630383,1.7759271106161614,11.0,53.62,59.0,9627.0,76.08,143.70457128096302,24.0,14.0,64.0,1395781632.0,32640000000.0,0.0,0.0,374.92,-57.76,380.96,50,False
Qwen/Qwen2.5-0.5B,1,float32,11,2048,0.0001,0,0.0,False,,,True,67.092897235772,0.836134228565662,1.7775261085840897,11.0,53.42,58.0,9553.0,77.62,143.7664370553485,24.0,14.0,64.0,1395781632.0,32640000000.0,0.0,0.0,372.58,-57.76,378.76,50,False
Qwen/Qwen2.5-0.5B,1,float32,11,2048,0.0001,0,5.0,False,,,True,67.11548419256192,0.8364157148103952,1.7781245162704715,11.0,53.74,58.0,9563.0,76.02,144.53005812774967,24.0,14.0,64.0,1395781632.0,32640000000.0,0.0,0.0,372.06,-57.86,378.22,50,False
Qwen/Qwen2.5-0.5B,1,float32,11,2048,0.0001,5,0.0,False,,,True,67.05810024503612,0.8357005767753225,1.7766042142840737,11.0,53.94,59.0,9665.0,77.58,144.13585544147136,24.0,14.0,64.0,1395781632.0,32640000000.0,0.0,0.0,373.94,-57.76,379.92,50,False
Qwen/Qwen2.5-0.5B,1,float32,11,2048,0.0001,5,5.0,False,,,True,67.21101263647505,0.8376062223759979,1.7806553997195989,11.0,53.78,59.0,9641.0,76.32,145.7594766534036,24.0,14.0,64.0,1395781632.0,32640000000.0,0.0,0.0,373.32,-57.84,379.5,50,False
Qwen/Qwen2.5-0.5B,4,float16,11,512,0.0001,0,0.0,False,,,True,259.2668859477392,0.4056950192731987,0.862461389862842,11.0,43.76,32.0,5251.0,60.06,109.64544260603847,24.0,14.0,64.0,1395781632.0,130560000000.0,0.0,0.0,338.82,-56.26,344.46,50,False
Qwen/Qwen2.5-0.5B,4,float16,11,512,0.0001,0,5.0,False,,,True,261.0930159401947,0.4085525066062858,0.8685360823774925,11.0,43.08,32.0,5237.0,58.72,108.37862444398591,24.0,14.0,64.0,1395781632.0,130560000000.0,0.0,0.0,337.92,-56.48,343.98,50,False
Qwen/Qwen2.5-0.5B,4,float16,11,512,0.0001,5,0.0,False,,,True,260.1603652417143,0.407093115671296,0.8654335835191149,11.0,44.46,34.0,5507.0,60.42,111.47827887935347,24.0,14.0,64.0,1395781632.0,130560000000.0,0.0,0.0,341.9,-56.38,347.78,50,False
Qwen/Qwen2.5-0.5B,4,float16,11,512,0.0001,5,5.0,False,,,True,260.9881312330584,0.4083883853644714,0.8681871793158407,11.0,44.3,33.0,5483.0,58.74,108.35976092037885,24.0,14.0,64.0,1395781632.0,130560000000.0,0.0,0.0,338.78,-56.36,344.56,50,False
Qwen/Qwen2.5-0.5B,4,float16,11,2048,0.0001,0,0.0,False,,,True,260.3485418260372,0.40738757017798927,0.8660595602529406,11.0,44.5,32.0,5255.0,60.34,111.55453731660933,24.0,14.0,64.0,1395781632.0,130560000000.0,0.0,0.0,340.26,-56.58,346.36,50,False
Qwen/Qwen2.5-0.5B,4,float16,11,2048,0.0001,0,5.0,False,,,True,261.33607704451407,0.40893284318124395,0.8693446346038465,11.0,44.1,32.0,5259.0,58.92,108.2722769878619,24.0,14.0,64.0,1395781632.0,130560000000.0,0.0,0.0,337.42,-56.38,343.34,50,False
Qwen/Qwen2.5-0.5B,4,float16,11,2048,0.0001,5,0.0,False,,,True,261.16174202372787,0.4086600476433205,0.8687647023700039,11.0,44.68,34.0,5499.0,60.94,113.60990043278625,24.0,14.0,64.0,1395781632.0,130560000000.0,0.0,0.0,342.98,-56.48,348.86,50,False
Qwen/Qwen2.5-0.5B,4,float16,11,2048,0.0001,5,5.0,False,,,True,266.4978055961135,0.4170098004701368,0.8865153255867453,11.0,45.32,34.0,5497.0,58.82,108.07447438114042,24.0,14.0,64.0,1395781632.0,130560000000.0,0.0,0.0,342.38,-56.42,348.06,50,False
