model_name,batch_size,dtype,sequence_length,context_window,learning_rate,warmup_iterations,cooldown_seconds,io_latency_enabled,io_latency_profile,io_latency_pattern,power_meter_available,tokens_per_second_mean,mfu_percentage_mean,mfu_percentage_calflops_mean,sequence_length_mean,gpu_utilization_mean,memory_utilization_mean,memory_used_mb_mean,temperature_celsius_mean,power_draw_watts_mean,num_layers_mean,num_heads_mean,head_dim_mean,formula_flops_per_token_mean,calflops_total_mean,io_latency_actual_ms_mean,io_latency_mean_config_ms_mean,power_meter_active_power_w_mean,power_meter_reactive_power_var_mean,power_meter_apparent_power_va_mean,samples_per_config,cap_reached
Qwen/Qwen2.5-3B,1,bfloat16,11,512,0.0001,0,0.0,False,,,True,56.99208234086989,0.34323819310384673,0.5833458794699085,11.0,100.0,45.0,0.0,37.48,84.28,36.0,16.0,128.0,10900832256.0,203790000000.00003,0.0,0.0,263.68,-54.0,268.78,50,False
Qwen/Qwen2.5-3B,1,bfloat16,11,512,0.0001,0,5.0,False,,,True,58.2333104652506,0.35071356303495366,0.5960505444356314,11.0,100.0,45.0,0.0,36.28,84.3,36.0,16.0,128.0,10900832256.0,203790000000.00003,0.0,0.0,263.44,-54.0,268.56,50,False
Qwen/Qwen2.5-3B,1,bfloat16,11,512,0.0001,5,0.0,False,,,True,57.871807188880936,0.34853638813125193,0.5923503559528904,11.0,100.0,45.0,0.0,37.34,84.4,36.0,16.0,128.0,10900832256.0,203790000000.00003,0.0,0.0,263.2,-54.0,268.34,50,False
Qwen/Qwen2.5-3B,1,bfloat16,11,512,0.0001,5,5.0,False,,,True,57.660168130376626,0.3472617793602169,0.5901841116669742,11.0,100.0,45.0,0.0,36.32,84.22,36.0,16.0,128.0,10900832256.0,203790000000.00003,0.0,0.0,263.34,-54.0,268.46,50,False
Qwen/Qwen2.5-3B,1,bfloat16,11,2048,0.0001,0,0.0,False,,,True,57.995320098226486,0.3492802519468466,0.5936145797497527,11.0,100.0,45.0,0.0,37.6,84.32,36.0,16.0,128.0,10900832256.0,203790000000.00003,0.0,0.0,263.48,-54.0,268.56,50,False
Qwen/Qwen2.5-3B,1,bfloat16,11,2048,0.0001,0,5.0,False,,,True,57.31968170201065,0.3452111796690225,0.586699042393408,11.0,100.0,45.0,0.0,36.18,84.28,36.0,16.0,128.0,10900832256.0,203790000000.00003,0.0,0.0,263.7,-54.0,268.88,50,False
Qwen/Qwen2.5-3B,1,bfloat16,11,2048,0.0001,5,0.0,False,,,True,57.62009713134538,0.34702044939404575,0.5897739625513249,11.0,100.0,45.0,0.0,36.62,84.5,36.0,16.0,128.0,10900832256.0,203790000000.00003,0.0,0.0,263.44,-54.0,268.6,50,False
Qwen/Qwen2.5-3B,1,bfloat16,11,2048,0.0001,5,5.0,False,,,True,57.01877115490619,0.3433989280678915,0.583619054427842,11.0,100.0,45.0,0.0,36.38,84.34,36.0,16.0,128.0,10900832256.0,203790000000.00003,0.0,0.0,263.34,-54.0,268.52,50,False
Qwen/Qwen2.5-3B,1,float16,11,512,0.0001,0,0.0,False,,,True,58.459589577451446,0.3520763423969083,0.598366637869856,11.0,100.0,46.0,0.0,35.38,77.28,36.0,16.0,128.0,10900832256.0,203790000000.00003,0.0,0.0,263.3,-54.0,268.48,50,False
Qwen/Qwen2.5-3B,1,float16,11,512,0.0001,0,5.0,False,,,True,58.392124890914495,0.35167003232445365,0.5976760990215704,11.0,100.0,46.0,0.0,36.42,77.18,36.0,16.0,128.0,10900832256.0,203790000000.00003,0.0,0.0,263.32,-54.0,268.42,50,False
Qwen/Qwen2.5-3B,1,float16,11,512,0.0001,5,0.0,False,,,True,58.05783573437033,0.3496567560700406,0.5942544622956972,11.0,100.0,45.0,0.0,35.3,77.16,36.0,16.0,128.0,10900832256.0,203790000000.00003,0.0,0.0,262.92,-54.0,268.02,50,False
Qwen/Qwen2.5-3B,1,float16,11,512,0.0001,5,5.0,False,,,True,59.05437021401716,0.3556584440258143,0.6044545507742121,11.0,100.0,45.0,0.0,35.7,77.26,36.0,16.0,128.0,10900832256.0,203790000000.00003,0.0,0.0,263.1,-54.0,268.18,50,False
Qwen/Qwen2.5-3B,1,float16,11,2048,0.0001,0,0.0,False,,,True,58.41685777777283,0.35181898760116603,0.597929253969479,11.0,100.0,46.0,0.0,35.36,77.1,36.0,16.0,128.0,10900832256.0,203790000000.00003,0.0,0.0,263.2,-54.0,268.3,50,False
Qwen/Qwen2.5-3B,1,float16,11,2048,0.0001,0,5.0,False,,,True,58.43099676648978,0.3519041404985544,0.5980739744371147,11.0,100.0,45.0,0.0,36.82,77.28,36.0,16.0,128.0,10900832256.0,203790000000.00003,0.0,0.0,262.86,-54.0,268.02,50,False
Qwen/Qwen2.5-3B,1,float16,11,2048,0.0001,5,0.0,False,,,True,58.25947578004154,0.35087114519377216,0.5963183610856188,11.0,100.0,45.0,0.0,36.24,77.36,36.0,16.0,128.0,10900832256.0,203790000000.00003,0.0,0.0,262.68,-54.0,267.8,50,False
Qwen/Qwen2.5-3B,1,float16,11,2048,0.0001,5,5.0,False,,,True,58.45526175253631,0.352050277814901,0.5983223401581806,11.0,100.0,45.0,0.0,35.62,77.44,36.0,16.0,128.0,10900832256.0,203790000000.00003,0.0,0.0,262.92,-54.0,268.08,50,False
Qwen/Qwen2.5-3B,1,float32,11,512,0.0001,0,0.0,False,,,True,48.6070598430171,2.3445017956021372,3.9845666634788643,11.0,100.0,88.0,0.0,39.02,97.7,36.0,16.0,128.0,10900832256.0,203790000000.00003,0.0,0.0,262.48,-54.0,267.62,50,False
Qwen/Qwen2.5-3B,1,float32,11,512,0.0001,0,5.0,False,,,True,48.74793817138978,2.351296888637962,3.9961151729475164,11.0,100.0,88.0,0.0,38.74,98.12,36.0,16.0,128.0,10900832256.0,203790000000.00003,0.0,0.0,262.44,-54.0,267.56,50,False
Qwen/Qwen2.5-3B,1,float32,11,512,0.0001,5,0.0,False,,,True,49.31630520923857,2.378711374210658,4.04270709516924,11.0,100.0,87.0,0.0,39.06,98.4,36.0,16.0,128.0,10900832256.0,203790000000.00003,0.0,0.0,262.58,-54.0,267.64,50,False
